serial_num,subject_code,course_type,lab_or_lecture,department,branch,batch,faculty_code,floor,room_num,day,start_time,end_time,year,duration
247.0,PCS,SBC,lab,CSE,AIML,A,SD,4,406A,thursday,11:15:00,13:15:00,SE,2
248.0,DAA,PC,lab,CSE,AIML,B,AT,4,404,thursday,11:15:00,13:15:00,SE,2
249.0,OS,PC,lab,CSE,AIML,C,JR,4,408,thursday,11:15:00,13:15:00,SE,2
250.0,CCN,PC,lab,CSE,AIML,D,JS,4,410B,thursday,11:15:00,13:15:00,SE,2
251.0,FOM-II,BSC(LE),lecture,CSE,AIML,N,RRS,3,309,thursday,14:00:00,15:00:00,SE,1
252.0,DSA,M,lecture,all,all,N,NR,6,609,thursday,16:00:00,18:00:00,SE,2
253.0,OS,M,lab,all,all,C,JR,6,606,thursday,16:00:00,18:00:00,SE,2
254.0,OS,PC,lecture,CSE,AIML,N,SYC,4,405,friday,09:00:00,10:00:00,SE,1
255.0,OS,PC,lecture,CSE,AIML,N,SYC,4,405,friday,10:00:00,11:00:00,SE,1
256.0,OS,PC,lab,CSE,AIML,A,JR,4,408,friday,11:15:00,13:15:00,SE,2
257.0,LA,PC,lab,CSE,AIML,D,RM,4,412,friday,11:15:00,13:15:00,SE,2
258.0,CCN,PC,lab,CSE,AIML,C,DDA,4,404,friday,11:15:00,13:15:00,SE,2
259.0,PCS,SBC,lab,CSE,AIML,B,SD,4,409,friday,11:15:00,13:15:00,SE,2
260.0,FOM-II,BSC(LE),lecture,all,all,N,RRS,3,309,friday,14:00:00,15:00:00,SE,1
261.0,CCN,PC,lecture,CSE,AIML,N,AVS,4,405,monday,09:00:00,10:00:00,SE,1
262.0,CCN,PC,lecture,CSE,AIML,N,AVS,4,405,monday,10:00:00,11:00:00,SE,1
263.0,DAA,PC,lab ,CSE,AIML,D,AVN,4,410B,monday,11:15:00,13:15:00,SE,2
264.0,PCS,SBC,lab ,CSE,AIML,C,SD,4,408,monday,11:15:00,13:15:00,SE,2
265.0,LA,BSC,lab,CSE,AIML,B ,RM,4,404,monday,11:15:00,13:15:00,SE,2
266.0,CCN,PC,lab,CSE,AIML,A,JR,4,406B,monday,11:15:00,13:15:00,SE,2
267.0,FOM-II,BSC(LE),lecture,all,all,N,RRS,3,309,monday,14:00:00,15:00:00,SE,1
